OBJECTID,LAND,BEZ,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
210267,11,2,2200210,2021,3,12,4,3,5,3,0,1,1,1,0,0,0,0,798486,7613,5825222,172
210266,11,5,5100315,2021,3,21,2,2,6,4,2,0,1,1,1,0,0,0,784879,2492,5829539,282
210265,11,6,6300633,2021,1,11,2,2,9,1,0,0,1,0,0,0,0,2,793203,7041,5819646,822
210264,11,1,1401047,2021,1,7,4,3,5,2,2,1,1,0,0,0,0,1,795259,2603,5830462,14
210263,11,9,9100304,2021,2,17,2,3,6,2,1,0,1,1,0,0,0,0,804805,8299,5822374,842
210262,11,4,4200310,2021,3,20,2,3,5,3,2,0,1,0,0,0,1,1,789459,6764,5826669,538
210261,11,2,2400623,2021,3,12,4,3,5,2,0,1,1,0,0,0,0,0,800674,8061,5827572,211
210260,11,3,3701658,2021,2,17,1,3,2,6,2,0,1,0,0,0,0,2,800104,8559,5829686,466
210259,11,11,11300721,2021,2,11,7,3,0,7,0,1,1,0,0,0,1,0,805431,4175,5829110,898
210258,11,1,1300733,2021,1,12,4,3,6,7,0,0,1,1,0,0,0,1,797096,9793,5831730,188
210257,11,12,12500930,2021,2,15,3,3,5,2,0,1,1,0,0,0,0,0,793947,3557,5835309,322
210256,11,5,5200420,2021,2,11,7,3,4,6,0,0,1,0,0,0,1,2,782766,6567,5828174,187
210255,11,9,9401329,2021,1,22,4,3,7,7,2,0,0,0,1,0,0,0,812832,4219,5819345,776
210254,11,12,12200515,2021,3,13,6,3,2,7,0,0,1,0,0,0,0,0,789961,763,5835548,387
210253,11,1,1300835,2021,2,16,2,3,5,2,0,0,1,0,0,0,0,0,797391,3274,5830020,483
210252,11,10,10100313,2021,1,12,5,2,2,6,0,0,1,0,1,0,0,0,808517,3689,5831180,74
210251,11,1,1401044,2021,3,15,4,3,1,1,0,0,1,0,0,0,1,1,796178,8376,5831232,303
210250,11,1,1100310,2021,3,19,5,3,0,1,2,0,0,0,0,0,1,1,798478,96,5828247,781
210249,11,3,3601140,2021,3,9,7,3,5,2,0,1,0,0,0,0,1,0,798517,3773,5831494,439
210248,11,7,7601545,2021,2,20,4,3,0,5,2,0,1,0,0,0,0,0,800566,565,5814129,337
210247,11,12,12500824,2021,3,18,2,3,6,2,2,0,1,1,0,0,0,0,790701,544,5835392,387
210246,11,12,12500928,2021,1,19,5,3,6,4,2,0,1,1,0,0,0,1,792077,8752,5837104,955
210245,11,9,9100101,2021,2,19,4,3,6,2,2,0,1,1,0,0,0,1,802353,5095,5824747,89
210244,11,3,3200310,2021,3,17,6,3,0,4,0,0,1,1,0,0,0,0,799530,4832,5837790,807
210243,11,3,3601453,2021,2,17,7,3,5,2,2,1,1,0,0,0,0,2,802387,823,5828846,5
210242,11,3,3200204,2021,2,15,4,2,5,2,0,1,1,0,0,0,0,0,798049,287,5837195,636
210241,11,12,12100205,2021,1,9,3,3,2,6,0,0,1,0,0,0,0,2,794248,1748,5835451,153
210240,11,8,8100312,2021,3,8,5,3,0,6,0,0,1,0,1,0,0,0,801071,7586,5824917,433
210239,11,9,9100305,2021,2,18,1,3,5,2,2,0,1,0,0,0,1,2,805017,3174,5822704,571
210238,11,11,11100204,2021,3,15,7,3,5,2,0,0,1,0,0,0,0,1,805956,7822,5833709,218
210237,11,6,6200314,2021,1,18,5,3,2,6,2,0,1,0,0,0,0,1,794571,9571,5817705,787
210236,11,8,8100104,2021,1,16,1,3,0,5,2,1,1,0,0,0,0,1,800872,8111,5822467,963
210235,11,8,8100102,2021,2,16,1,2,5,2,0,0,1,0,1,0,0,0,800486,377,5823549,643
210234,11,1,2100104,2021,3,16,2,3,2,7,0,0,1,0,0,0,0,0,799364,8239,5826332,852
210233,11,7,7501031,2021,1,11,4,3,5,3,0,1,0,0,0,1,0,0,799470,617,5820515,232
210232,11,4,4400834,2021,2,18,4,3,6,4,2,0,1,1,0,0,0,2,792669,8231,5823057,32
210231,11,12,12400723,2021,2,12,5,3,5,3,0,0,1,0,0,0,0,0,791698,2701,5839251,104
210230,11,11,11300617,2021,1,18,4,3,5,2,2,1,1,0,0,0,0,0,803090,3371,5829538,646
210229,11,8,8100209,2021,3,7,4,3,2,6,0,0,1,0,0,0,0,0,801743,1908,5822067,88
210228,11,4,4501152,2021,1,14,6,3,5,2,0,1,1,0,0,0,0,0,793976,6113,5824458,417
210227,11,4,4200308,2021,1,13,3,3,2,2,0,0,1,0,0,0,0,2,788491,4479,5827719,59
210226,11,1,1100102,2021,1,19,3,3,0,6,2,0,1,0,1,0,0,1,795072,3777,5827223,179
210225,11,3,3500934,2021,2,15,2,3,5,3,0,0,1,0,0,0,0,0,800502,9514,5831781,198
210224,11,4,4300624,2021,3,18,3,2,5,3,2,1,1,0,0,0,0,0,793257,5868,5826077,906
210223,11,3,3501038,2021,3,17,4,3,1,5,0,1,0,0,0,1,0,0,803167,3237,5831369,699
210222,11,4,4400726,2021,2,17,7,3,6,6,2,0,1,1,0,0,0,2,790233,3152,5824588,42
210221,11,7,7601236,2021,2,21,7,2,6,4,2,0,1,1,0,0,0,0,796567,4106,5816249,672
210220,11,7,7501029,2021,1,18,6,2,6,3,2,0,1,1,0,0,0,1,797367,2653,5819343,935
210219,11,7,7400823,2021,2,16,3,3,6,2,2,0,0,1,1,0,0,1,797289,7079,5821226,116
210218,11,9,9100304,2021,1,11,3,3,6,4,0,1,1,1,0,0,0,1,804601,5042,5822059,646
210217,11,9,9501838,2021,3,17,5,3,2,6,0,0,1,0,0,0,0,0,820165,4117,5819626,72
210216,11,7,7100102,2021,3,7,7,3,8,1,0,0,1,0,0,0,0,0,794961,5168,5825560,45
210215,11,9,9502043,2021,2,14,4,3,5,3,0,1,1,0,0,0,0,0,809220,5463,5823021,8
210214,11,1,1300733,2021,1,23,5,3,9,1,2,0,1,0,0,0,0,1,797021,4522,5831512,53
210213,11,9,9200819,2021,3,7,4,3,5,2,0,1,1,0,0,0,0,0,810778,3393,5818648,881
210212,11,1,1100309,2021,3,15,6,3,1,5,0,1,0,0,0,1,0,0,798670,5822,5828707,183
210211,11,12,12200412,2021,3,6,2,3,2,6,0,0,1,0,0,0,0,0,789784,5522,5833673,884
210210,11,1,1300834,2021,2,18,2,3,2,6,2,0,1,0,0,0,0,2,797437,3871,5831142,679
210209,11,6,6100208,2021,1,11,2,3,5,7,0,0,1,0,0,0,1,2,794767,9487,5820813,1
210208,11,7,7400720,2021,3,14,3,2,5,2,0,0,1,0,0,0,1,0,797207,361,5823599,939
210207,11,4,4300624,2021,1,20,2,3,6,2,2,0,1,1,0,0,0,1,793345,4028,5826090,331
210206,11,7,7601547,2021,2,9,4,2,6,7,0,0,1,1,0,0,0,1,800034,353,5813250,115
210205,11,10,10300734,2021,2,13,6,2,6,4,0,0,1,1,0,0,0,1,809578,4244,5825289,759
210204,11,11,11401137,2021,3,8,2,3,2,6,0,1,1,0,0,0,0,0,806776,4317,5825678,45
210203,11,4,4300622,2021,1,8,4,3,5,2,0,1,1,0,0,0,0,1,793676,862,5826072,268
210202,11,9,9401329,2021,2,11,3,3,1,5,0,0,1,0,0,0,0,1,811788,4997,5818279,506
210201,11,7,7601238,2021,1,9,5,2,2,2,0,0,1,0,0,0,0,0,798522,7335,5816818,134
210200,11,7,7200308,2021,3,16,6,3,0,4,0,1,0,1,0,0,0,0,795143,4031,5823170,735
210199,11,9,9200510,2021,2,17,3,3,6,7,1,1,0,1,0,0,0,0,806447,4401,5822249,315
210198,11,8,8100102,2021,1,14,7,3,1,5,0,0,1,0,0,0,1,1,800516,58,5823437,743
210197,11,4,4400728,2021,3,17,4,2,6,4,0,0,1,1,0,0,0,0,790037,9893,5823780,664
