OBJECTID,LAND,BEZ,LOR,STRASSE,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
208108,11,11,11020412,Hauptstra�e,11200411,2018,12,9,4,3,5,2,0,1,0,0,0,1,0,0,805701,8751,5831366,412
208109,11,11,11010204,Falkenberg Ost,11100203,2018,12,9,4,3,5,3,0,1,1,0,0,0,0,0,806710,1403,5833421,197
208110,11,2,2040701,Andreasviertel,2400623,2018,12,9,2,3,5,2,0,1,0,0,0,0,1,0,800506,2492,5827059,255
208111,11,1,1011306,Heine-Viertel Ost,1100313,2018,12,18,4,3,2,6,2,0,1,0,0,0,0,1,800200,1484,5826847,81
208112,11,12,12231101,Hermsdorf,12400723,2018,12,8,2,3,2,6,0,0,1,0,0,0,0,0,791422,367,5838777,818
208113,11,2,2020206,Graefekiez,2200213,2018,12,15,6,3,1,5,1,1,1,0,0,0,0,1,799631,816,5825077,87
208114,11,10,10040828,Kaulsdorf Nord                                                                                      ,10400835,2018,12,8,4,3,5,3,0,1,1,0,0,0,0,1,812929,2958,5829712,903
208115,11,1,1011103,L�tzowstra�e                                                                                        ,1100103,2018,12,7,2,2,5,2,0,1,1,0,0,0,0,0,795592,1252,5825810,573
208116,11,9,9020701,Adlershof West,9200715,2018,12,8,4,3,5,3,0,1,1,0,0,0,0,0,807821,875,5818872,766
208117,11,4,4051551,Brabanter Platz,4501148,2018,12,15,6,3,2,2,0,0,1,0,0,0,0,1,793009,5722,5823394,844
208118,11,12,12103116,Hausotterplatz,12100102,2018,12,7,2,1,6,4,2,0,1,1,0,0,0,0,796764,6059,5833658,44
208119,11,12,12103218,Teichstra�e,12100205,2018,12,8,4,3,5,2,0,1,1,0,0,0,0,1,794834,331,5833066,451
208120,11,1,1044103,Westliche M�llerstra�e                                                                              ,1400942,2018,12,7,4,3,5,3,0,0,1,0,0,0,1,0,794845,1137,5830307,941
208121,11,8,8010211,Flughafenstra�e,8100206,2018,12,6,2,3,2,6,2,0,1,0,0,0,0,0,800467,3872,5823725,905
208122,11,4,4030620,Alt-Lietzow,4300619,2018,12,17,4,3,5,2,2,0,1,0,0,0,0,0,792975,3334,5827555,525
208123,11,1,1011303,Alexanderplatzviertel,1100310,2018,12,23,1,3,2,6,2,0,1,0,0,0,0,0,799571,2896,5828236,963
208124,11,4,4030931,Breitscheidplatz,4501042,2018,12,14,6,3,5,2,0,1,1,0,0,0,0,1,793527,6714,5825443,169
208125,11,3,3061429,Greifswalder Stra�e,3601449,2018,12,16,1,3,5,2,2,0,1,0,0,0,0,1,801338,2141,5831003,266
208126,11,1,1011306,Heine-Viertel Ost,1100313,2018,12,17,4,3,5,2,2,1,0,0,0,0,1,0,799980,4669,5826936,644
208127,11,7,7030303,Grazer Platz,7300619,2018,12,22,1,3,1,5,2,0,1,0,0,1,0,1,795283,9125,5821906,902
208128,11,1,1011102,Gro�er Tiergarten,1100102,2018,12,14,6,2,8,1,0,0,0,0,0,0,1,1,796303,7608,5827555,887
208129,11,7,7070701,Kettinger Stra�e/Schillerstra�e                                                                     ,7601442,2018,12,7,4,3,0,1,0,0,1,0,1,0,0,1,799027,9865,5816501,923
208130,11,2,2010103,Moritzplatz,2100104,2018,12,20,1,3,5,3,2,1,0,0,0,0,1,1,799115,3988,5826269,419
208131,11,1,1044201,Reinickendorfer Stra�e                                                                              ,1401045,2018,12,13,6,3,3,6,0,1,1,0,0,0,0,1,796839,1526,5831562,456
208132,11,4,4051654,Wilhelmsaue,4501150,2018,12,18,1,2,6,4,2,0,1,1,0,0,0,1,793975,3252,5823932,686
208133,11,3,3061126,Arnimplatz,3601141,2018,12,16,4,2,6,4,1,1,0,1,0,0,0,0,798947,9043,5831449,916
208134,11,2,2030301,Oranienplatz,2300314,2018,12,4,4,2,6,2,2,0,1,1,0,0,0,0,799898,4099,5825982,507
208135,11,3,3071537,Kollwitzplatz,3701556,2018,12,18,1,2,2,6,1,0,1,0,1,0,0,1,799867,7619,5829782,124
208136,11,1,1011103,L�tzowstra�e                                                                                        ,1100103,2018,12,17,1,3,3,2,2,0,1,0,0,0,0,1,795179,1,5825900,691
208137,11,7,7060604,Marienfelde S�d,7601341,2018,12,15,4,3,5,2,1,0,1,0,0,0,0,0,797610,1156,5815559,446
208138,11,7,7060604,Marienfelde S�d,7601341,2018,12,15,1,3,5,3,1,0,1,0,0,0,0,1,798075,8043,5814211,884
208139,11,11,11020515,Landsberger Allee,11200514,2018,12,14,1,3,6,7,0,0,0,1,0,0,1,0,803357,7263,5830039,446
208140,11,2,2040703,Wriezener Bahnhof/Entwicklungsgebiet,2400625,2018,12,19,6,3,5,7,2,0,1,0,0,0,0,1,801699,916,5826148,779
208141,11,12,12103219,Sch�fersee,12100204,2018,12,16,4,3,6,4,1,0,1,1,0,0,0,0,795163,6219,5832500,456
208142,11,1,1044101,Rehberge,1400938,2018,12,11,1,2,6,4,0,0,1,1,0,0,0,1,794886,9788,5831281,953
208143,11,7,7050503,Eisenacher Stra�e                                                                                   ,7501031,2018,12,9,4,3,2,6,0,0,1,0,0,0,0,1,799113,7088,5819868,358
208144,11,12,12103219,Sch�fersee,12100204,2018,12,13,6,2,2,4,0,0,1,1,1,0,0,1,793996,8942,5832652,714
208145,11,10,10030727,Biesdorf S�d                                                                                        ,10300734,2018,12,5,1,3,0,7,2,0,1,0,0,0,0,1,809579,5968,5825493,889
208146,11,4,4051550,Leon-Jessel-Platz,4501147,2018,12,16,4,3,1,5,0,1,1,0,0,0,0,0,793330,4995,5824278,933
