OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
192010,11,1,1022205,Zillesiedlung,2019,2,21,2,3,6,7,2,0,1,1,0,0,0,0,795518,132,5828345,68
192011,11,4,4041241,Breite Stra�e,2019,2,14,6,3,0,1,0,1,0,0,0,0,0,0,791554,614,5822477,81
192012,11,9,9031101,Gr�nau,2019,2,21,2,3,6,7,2,0,0,1,0,0,1,0,811054,7724,5818037,65
192013,11,5,5020419,Magistratsweg,2019,2,5,2,3,3,6,2,1,0,0,0,0,1,1,780912,829,5828336,297
192014,11,10,10010204,Wuhletalstra�e,2019,2,11,5,3,5,3,0,0,1,0,0,0,0,0,809336,8958,5832706,88
192015,11,12,12103219,Sch�fersee,2019,2,7,2,3,6,2,0,0,1,1,0,0,0,1,794963,381,5832708,33
192016,11,8,8010406,Treptower Stra�e Nord,2019,2,5,2,2,5,3,2,0,0,0,1,0,1,1,802278,5584,5823881,701
192017,11,8,8010404,Rixdorf,2019,2,11,5,3,2,6,0,0,1,0,0,0,1,0,802106,7801,5823434,353
192018,11,5,5020626,Adamstra�e,2019,2,19,2,3,6,2,2,0,1,1,0,0,0,0,784548,115,5828156,36
192019,11,1,1022207,Hansaviertel,2019,2,7,2,2,6,7,1,1,0,1,0,0,0,1,794191,2365,5827121,602
192020,11,8,8020727,Buckow Mitte,2019,2,18,2,3,6,2,1,0,1,1,0,0,0,0,801524,108,5817548,343
192021,11,1,1011202,Unter den Linden Nord,2019,2,19,5,3,0,2,2,1,0,0,0,0,1,0,797685,7217,5827902,94
192022,11,7,7010101,Wittenbergplatz/Viktoria-Luise-Platz,2019,2,16,2,3,6,7,0,1,0,1,0,0,0,0,794861,289,5825676,6
192023,11,11,11020514,Gro�e-Leege-Stra�e,2019,2,16,2,2,5,3,0,1,1,0,0,0,0,0,804303,7547,5830307,14
192024,11,8,8020622,Parchimer Allee,2019,2,15,2,3,6,4,0,0,1,1,0,0,0,0,801430,7196,5820268,839
192025,11,4,4051445,Eisenzahnstra�e,2019,2,7,5,3,5,2,0,1,1,0,0,0,0,1,792489,5126,5824122,668
192026,11,9,9031101,Gr�nau,2019,2,15,2,2,0,1,0,1,1,0,0,0,0,0,811185,663,5817766,294
192027,11,1,1033201,Brunnenstra�e,2019,2,14,2,3,2,6,0,0,1,0,0,0,0,1,797514,9588,5831010,255
192028,11,10,10040932,Alt-Mahlsdorf,2019,2,12,2,3,2,6,0,0,1,0,1,0,0,0,812928,884,5827928,147
192029,11,6,6030609,Augustaplatz,2019,2,7,5,3,5,3,0,0,1,0,0,0,0,0,792586,2752,5818924,367
192030,11,4,4020313,K�nigin-Elisabeth-Stra�e,2019,2,12,2,3,6,2,0,0,1,1,0,0,0,1,790525,3985,5826497,51
192031,11,3,3061332,Helmholtzplatz,2019,2,8,2,3,5,7,0,0,1,0,0,0,1,1,799469,8859,5831030,816
192032,11,12,12304313,Borsigwalde,2019,2,8,2,3,5,7,0,0,1,0,0,0,1,1,791756,3438,5834578,48
192033,11,8,8020619,Buschkrugallee Nord,2019,2,7,5,3,5,2,0,0,1,0,0,0,1,1,801546,2909,5820647,214
192034,11,9,9010202,K�penicker Landstra�e,2019,2,18,2,3,6,4,1,0,1,1,0,0,0,0,804233,543,5824169,615
192035,11,8,8010301,Reuterkiez,2019,2,16,1,3,2,2,2,0,1,0,0,0,0,1,800664,1935,5824380,216
192036,11,9,9020702,Adlershof Ost,2019,2,21,1,3,2,7,2,0,1,0,1,0,0,1,809389,4491,5819628,756
192037,11,12,12301203,Wittenau S�d,2019,2,16,5,3,5,2,0,1,1,0,0,0,0,0,792851,671,5835170,64
192038,11,10,10020413,Gut Hellersdorf,2019,2,15,1,3,5,2,0,0,1,0,0,0,0,1,811288,9316,5831562,997
192039,11,5,5010314,Carl-Schurz-Stra�e,2019,2,1,1,3,8,1,1,0,1,0,0,0,0,1,784997,6005,5829401,608
192040,11,2,2030301,Oranienplatz,2019,2,18,1,2,2,6,2,1,1,0,0,0,0,1,799847,6463,5825811,428
192041,11,8,8041040,Waltersdorfer Chaussee Ost,2019,2,7,5,3,0,3,0,0,1,0,1,0,0,0,806884,2256,5817354,97
192042,11,4,4031032,Halensee,2019,2,19,1,2,6,2,2,0,1,1,0,0,0,1,791837,3073,5824702,2
192043,11,6,6020409,K�nigsberger Stra�e,2019,2,18,1,2,8,1,2,0,1,0,0,0,1,1,793564,5509,5817986,521
192044,11,1,1044202,Sparrplatz,2019,2,9,1,3,2,6,0,0,1,0,0,0,0,1,795552,4438,5830734,915
192045,11,2,2010102,Mehringplatz,2019,2,2,1,3,5,3,2,0,1,0,0,0,1,0,798183,347,5826499,56
192046,11,11,11020412,Hauptstra�e,2019,2,10,6,3,5,2,0,1,1,0,0,0,0,0,805833,1405,5831863,726
192047,11,2,2030302,Lausitzer Platz,2019,2,3,7,3,0,1,2,1,0,0,0,0,0,0,800724,3014,5826537,615
192048,11,1,1044101,Rehberge,2019,2,1,7,2,8,1,2,0,1,0,0,0,0,0,794223,5065,5830421,662
192049,11,12,12302110,Dannenwalder Weg,2019,2,23,7,3,0,3,2,0,1,0,1,0,0,1,794640,3828,5836270,786
192050,11,8,8030831,Gropiusstadt Ost,2019,2,23,7,3,2,6,2,0,1,0,0,0,1,1,803824,2776,5817909,914
192051,11,8,8010404,Rixdorf,2019,2,21,7,3,6,4,2,0,1,1,0,0,0,0,802470,4269,5823158,55
