OBJECTID,LAND,BEZ,LOR,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
142893,11,4,4031032,4500937,2020,9,17,6,3,2,7,0,0,1,0,0,0,0,0,791672,2288,5825129,901
142894,11,2,2010102,2100102,2020,9,16,2,3,2,6,0,0,1,0,0,0,0,0,798326,7341,5825574,73
142895,11,10,10010308,10100311,2020,9,16,5,2,5,2,0,1,1,0,0,0,0,0,806638,4438,5830254,48
142896,11,6,6010206,6100206,2020,9,18,3,3,5,3,0,1,0,0,0,0,0,0,794543,5176,5820078,438
142897,11,1,1011202,1100206,2020,9,21,6,3,0,2,2,1,0,0,1,0,0,0,797159,4558,5827691,73
142898,11,1,1011306,1100313,2020,9,16,2,3,5,3,0,1,1,0,0,0,0,0,800136,5654,5826608,462
142899,11,2,2010103,2100105,2020,9,1,6,3,5,2,2,0,1,0,1,0,0,0,799143,3195,5825792,278
142900,11,12,12214424,12200309,2020,9,0,3,3,5,2,2,0,0,0,0,0,1,0,792496,6737,5832854,71
142901,11,5,5010206,5100208,2020,9,13,2,3,5,3,0,0,1,0,0,0,0,0,782365,6429,5830498,24
142902,11,1,1011306,1100313,2020,9,17,3,3,3,6,0,1,0,0,0,0,0,0,800457,658,5826700,18
142903,11,9,9031101,9301126,2020,9,23,7,2,5,2,2,1,1,0,0,0,0,0,811026,7651,5818095,103
142904,11,4,4020313,4200311,2020,9,8,5,2,2,6,0,0,1,0,1,0,0,0,790460,7744,5825975,66
142905,11,1,1011105,1100102,2020,9,23,2,3,2,6,2,0,1,0,0,1,0,0,795633,9329,5826286,92
142906,11,9,9041501,9401534,2020,9,13,6,3,2,7,0,1,0,0,0,0,1,0,810869,36,5820577,155
142907,11,1,1011203,1100206,2020,9,15,2,3,2,2,0,1,1,0,0,0,0,0,797623,8441,5827017,473
142908,11,5,5020629,5200634,2020,9,15,5,3,0,2,0,1,1,0,0,0,0,0,785026,9061,5826295,745
142909,11,3,3030406,3300413,2020,9,17,3,3,2,6,0,0,1,0,0,0,0,0,803333,534,5838203,161
142910,11,12,12214424,12200411,2020,9,16,5,2,5,2,0,0,1,0,0,0,0,0,792902,519,5832166,923
142911,11,9,9010301,9100304,2020,9,20,1,3,2,6,2,0,1,0,0,1,0,0,804241,957,5821505,688
142912,11,11,11020515,11200514,2020,9,9,3,3,6,2,0,0,1,1,0,0,0,0,803361,7726,5830084,489
142913,11,4,4031032,4500938,2020,9,15,7,2,5,7,0,0,1,0,1,0,0,0,791709,9939,5824840,7
142914,11,11,11010204,11100203,2020,9,16,5,3,5,2,0,1,1,0,0,0,0,0,807659,128,5833601,567
142915,11,1,1044102,1400940,2020,9,13,1,3,5,2,0,0,1,0,1,0,0,0,795669,5242,5832023,364
142916,11,2,2030302,2300315,2020,9,18,7,3,5,3,0,0,1,0,0,0,1,0,800785,2891,5825814,484
142917,11,1,1011105,1100102,2020,9,22,2,3,3,6,2,0,1,0,1,0,0,0,796607,7971,5826882,344
142918,11,1,1033203,1300836,2020,9,11,6,3,5,7,0,1,1,0,0,0,0,0,796477,8264,5829934,637
142919,11,4,4041137,4400727,2020,9,7,2,3,1,7,0,1,1,0,0,0,0,0,791054,7357,5823104,674
142920,11,4,4020313,4200311,2020,9,10,5,3,5,2,0,1,1,0,0,0,0,0,790547,4984,5826245,578
142921,11,11,11010308,11100307,2020,9,16,3,3,2,6,0,0,1,0,0,0,0,0,805006,768,5834198,616
142922,11,1,1022104,1200519,2020,9,18,4,3,2,7,0,1,1,0,0,0,0,0,794051,3818,5828506,478
142923,11,4,4030931,4501042,2020,9,15,1,3,5,2,0,1,1,0,0,0,0,0,793513,671,5825454,99
142924,11,4,4020310,4200308,2020,9,12,3,3,2,6,0,0,1,0,1,0,0,0,790330,8063,5827298,225
142925,11,9,9010402,9100408,2020,9,10,7,3,5,2,0,1,1,0,0,0,0,0,806547,5413,5820533,222
142926,11,1,1011203,1100206,2020,9,14,6,3,5,3,0,1,1,0,0,0,0,0,797955,7641,5827073,144
142927,11,9,9020701,9200715,2020,9,16,3,3,5,2,0,1,1,0,0,0,0,0,808646,962,5819162,261
142928,11,12,12302109,12601133,2020,9,15,3,3,7,7,0,0,0,0,1,0,0,0,795752,475,5837034,973
142929,11,6,6020306,6200317,2020,9,11,6,3,5,3,0,0,1,0,0,0,0,0,795895,9106,5816506,341
142930,11,10,10010101,10100101,2020,9,15,3,3,2,6,0,0,1,0,0,0,0,0,808660,5538,5833750,721
142931,11,3,3040512,3400619,2020,9,9,2,3,1,5,0,0,1,0,1,0,0,0,796438,7537,5835772,599
142932,11,6,6010102,6100102,2020,9,11,5,3,5,2,0,1,1,0,0,0,0,0,793719,7304,5821044,283
142933,11,1,1044202,1401046,2020,9,2,3,3,1,5,2,0,1,0,0,0,1,0,795315,8357,5829969,436
142934,11,6,6040804,6400838,2020,9,13,1,3,6,4,0,1,0,1,0,0,0,0,787881,6834,5818431,788
142935,11,4,4051551,4501148,2020,9,13,3,2,5,2,0,0,1,0,1,0,0,0,792824,2032,5823228,388
142936,11,9,9031101,9301126,2020,9,10,6,3,5,3,0,1,1,0,0,0,0,0,809926,8464,5817936,476
142937,11,4,4051655,4501153,2020,9,17,2,3,5,3,0,1,1,0,0,0,0,0,794175,647,5823695,419
142938,11,10,10040933,10400940,2020,9,14,6,3,5,3,0,0,1,0,1,0,0,0,813125,3622,5827007,571
142939,11,1,1011201,1100205,2020,9,18,2,3,4,6,0,1,0,0,0,0,1,0,797036,2603,5826584,322
142940,11,2,2010104,2100106,2020,9,14,2,3,5,7,0,0,1,0,0,0,1,0,799073,7356,5825598,17
142941,11,5,5020627,5200632,2020,9,17,2,3,5,2,0,0,1,0,0,0,1,0,785957,5767,5828011,652
142942,11,5,5020628,5200633,2020,9,12,7,3,2,6,0,0,1,0,0,0,1,0,784161,6011,5826557,234
142943,11,12,12214528,12400619,2020,9,7,2,3,0,7,0,0,1,0,0,0,0,0,789929,487,5836471,809
142944,11,2,2030302,2300316,2020,9,16,2,3,1,5,0,1,1,0,0,0,0,0,801208,396,5826230,583
142945,11,4,4020312,4200308,2020,9,11,1,2,0,7,0,1,0,0,0,0,0,0,789504,3701,5826850,618
142946,11,8,8020619,8200623,2020,9,17,3,3,2,6,0,0,0,0,1,0,1,0,802525,2277,5820716,975
142947,11,8,8010301,8100312,2020,9,18,6,3,2,6,0,0,1,0,1,0,0,0,801102,3128,5824131,497
142948,11,2,2040502,2400521,2020,9,17,2,3,5,2,0,1,1,0,0,0,0,0,800452,7714,5828446,372
142949,11,5,5020627,5200632,2020,9,15,5,3,0,1,0,1,0,0,0,0,0,0,786010,7426,5828010,45
142950,11,11,11020513,11200512,2020,9,17,2,3,5,3,0,1,1,0,0,0,0,0,802855,2519,5831366,383
142951,11,3,3040512,3400619,2020,9,13,2,2,6,4,0,0,1,1,0,0,0,0,796325,5384,5834871,72
142952,11,4,4051655,4501153,2020,9,17,2,3,5,2,0,1,1,0,0,0,0,0,794195,1827,5823597,966
142953,11,4,4030416,4300413,2020,9,20,7,3,6,6,1,0,1,1,0,0,0,0,791289,176,5827275,727
142954,11,7,7020203,7200411,2020,9,18,2,3,2,6,1,0,1,0,0,0,0,0,795826,6042,5824100,909
142955,11,2,2020206,2200212,2020,9,12,6,3,5,2,0,1,1,0,0,0,0,0,799053,9226,5824540,248
142956,11,12,12304314,12500824,2020,9,14,2,3,0,1,0,1,1,0,0,0,0,0,791225,9719,5836406,959
142957,11,8,8010508,8100520,2020,9,15,3,3,6,7,0,0,0,1,0,0,1,0,803155,8521,5823396,105
142958,11,7,7020204,7200412,2020,9,13,6,3,5,2,0,0,1,0,1,0,0,0,796210,3069,5822978,425
142959,11,12,12301203,12500926,2020,9,15,2,2,0,4,0,0,0,1,0,0,1,0,793417,459,5836086,611
142960,11,3,3061441,3601453,2020,9,15,5,2,6,4,0,1,0,1,0,0,0,0,802797,2302,5828556,418
142961,11,7,7030303,7300619,2020,9,17,2,2,0,6,0,0,1,0,1,0,0,0,796078,7142,5822846,481
142962,11,1,1011201,1100205,2020,9,18,4,3,5,2,0,1,0,0,0,0,1,0,797471,2828,5826798,656
142963,11,2,2030301,2300314,2020,9,13,1,3,3,6,0,1,0,0,0,0,0,0,800066,2288,5825737,671
142964,11,2,2050801,2500830,2020,9,6,5,3,0,1,1,0,0,0,1,0,0,1,802227,8233,5827520,105
142965,11,7,7050503,7501031,2020,9,15,7,3,2,6,0,0,1,0,0,0,0,0,799455,187,5820496,481
142966,11,3,3061332,3601348,2020,9,0,5,3,1,5,2,1,1,0,0,0,0,1,800071,9377,5830662,968
142967,11,7,7020204,7200412,2020,9,14,6,3,6,7,0,1,0,1,0,0,0,0,796282,2389,5823066,118
142968,11,1,1044101,1400938,2020,9,10,2,3,2,7,0,0,1,0,0,0,0,0,793967,8733,5830155,951
142969,11,3,3061131,3601142,2020,9,12,5,3,1,5,0,1,1,0,0,0,0,0,798271,6772,5830918,717
142970,11,7,7040401,7400721,2020,9,17,2,3,5,3,0,0,1,0,0,0,1,0,797328,8093,5823504,352
142971,11,11,11010103,11100102,2020,9,14,1,3,8,1,0,1,0,0,0,0,0,0,808822,443,5834759,49
142972,11,1,1011102,1100102,2020,9,18,1,3,5,2,0,0,1,0,1,0,0,0,796508,6177,5827611,836
142973,11,2,2050802,2500833,2020,9,19,4,3,0,1,1,1,1,0,0,0,0,0,802082,435,5827156,891
142974,11,9,9010202,9100203,2020,9,9,1,3,5,2,0,0,1,0,0,0,0,0,804100,7126,5823589,644
142975,11,1,1033201,1300834,2020,9,17,1,3,7,7,0,0,0,0,1,0,0,0,798283,261,5830488,624
142976,11,5,5040936,5400943,2020,9,11,2,3,5,3,0,0,1,0,0,0,1,0,779998,4799,5821525,876
142977,11,9,9020802,9200819,2020,9,17,1,3,2,7,0,0,1,0,1,0,0,0,809811,9756,5820495,525
142978,11,1,1011402,1100416,2020,9,18,4,3,0,5,0,1,1,0,0,0,0,0,798687,7835,5829709,19
142979,11,12,12301203,12500930,2020,9,17,1,3,5,2,0,1,1,0,0,0,0,0,792852,7766,5835169,965
142980,11,3,3061228,3601245,2020,9,15,4,3,3,6,0,0,0,0,1,0,0,0,800615,9267,5830677,364
142981,11,6,6030504,6300528,2020,9,17,1,3,5,3,0,0,1,0,0,0,0,0,790387,7777,5817152,375
142982,11,12,12103219,12100204,2020,9,3,4,3,1,5,2,0,1,0,0,0,0,0,795168,809,5832477,176
142983,11,6,6020409,6200421,2020,9,17,7,3,3,6,0,1,1,0,0,0,0,0,793967,4001,5818667,819
142984,11,12,12304314,12500824,2020,9,15,2,3,2,6,0,0,1,0,1,0,0,0,790769,8409,5836027,2
142985,11,1,1011303,1100310,2020,9,23,7,3,8,1,2,1,0,0,0,0,0,0,799669,4659,5828684,918
142986,11,12,12214424,12200411,2020,9,22,7,3,3,6,2,0,1,0,0,0,0,0,793186,4941,5832306,17
142987,11,10,10010310,10100314,2020,9,15,2,3,0,1,0,0,0,0,1,0,0,0,809009,823,5830209,624
142988,11,12,12302108,12601134,2020,9,19,7,3,0,1,2,1,1,0,0,0,0,0,794498,6087,5837093,98
142989,11,4,4030725,4300416,2020,9,18,7,3,5,3,0,1,0,0,0,0,0,0,791801,6283,5826227,191
142990,11,2,2030301,2300314,2020,9,17,7,3,2,6,0,1,1,0,0,0,0,0,799837,6443,5826006,77
142991,11,1,1022104,1200520,2020,9,9,4,3,5,2,0,0,1,0,1,0,0,0,794578,41,5828438,762
142992,11,3,3040614,3400723,2020,9,17,7,3,5,3,0,0,1,0,0,0,0,0,799607,9223,5834011,214
142993,11,4,4010101,4100101,2020,9,8,4,3,1,5,0,0,1,0,0,0,0,0,790278,2377,5829713,914
142994,11,2,2020206,2200212,2020,9,15,7,3,5,2,0,1,1,0,0,0,0,0,799202,4999,5824556,83
142995,11,9,9020501,9200510,2020,9,14,2,3,5,3,0,0,1,0,0,0,0,0,805946,111,5822647,271
142996,11,12,12214422,12200310,2020,9,15,7,3,2,6,0,0,1,0,0,0,0,0,792161,498,5832941,441
142997,11,12,12214424,12200309,2020,9,14,7,3,1,5,0,1,1,0,0,0,0,0,793055,831,5832668,487
142998,11,1,1011301,1100308,2020,9,13,7,3,6,4,0,1,0,1,0,0,0,0,797258,5542,5829077,757
142999,11,3,3020209,3200206,2020,9,8,4,3,5,3,0,0,1,0,0,0,0,0,797551,8325,5834860,529
143000,11,12,12214527,12200515,2020,9,13,1,3,2,7,0,1,0,0,0,0,0,0,790079,8668,5835439,32
143001,11,1,1022207,1200629,2020,9,13,7,3,5,3,0,0,1,0,0,0,1,0,794553,389,5827506,681
143002,11,3,3020209,3200206,2020,9,7,2,3,0,6,0,1,0,0,0,0,1,0,798399,5079,5834843,9
143003,11,12,12302110,12601235,2020,9,8,4,3,0,3,0,0,1,0,0,0,1,0,794900,6101,5836310,423
143004,11,3,3030711,3300514,2020,9,11,7,3,2,6,0,0,1,0,1,0,0,0,802153,9232,5836456,149
143005,11,1,1011305,1100312,2020,9,8,4,2,6,4,0,1,0,1,0,0,0,0,799692,9794,5827222,891
143006,11,12,12302211,12601031,2020,9,11,7,3,8,1,0,0,0,0,1,0,0,0,792927,309,5837087,5
143007,11,10,10010102,10100102,2020,9,6,3,3,5,2,0,0,1,0,0,0,0,0,809549,733,5834191,79
143008,11,5,5010314,5100317,2020,9,8,4,3,5,5,0,0,1,0,1,0,0,0,785671,5,5828564,811
143009,11,3,3071537,3701555,2020,9,11,7,2,5,2,0,1,1,0,0,0,0,0,799438,7802,5829881,592
143010,11,1,1011203,1100206,2020,9,13,2,3,2,6,0,1,1,0,0,0,0,0,797907,6448,5827352,871
143011,11,2,2030401,2300417,2020,9,10,7,3,5,3,0,1,1,0,0,0,0,0,800514,3283,5825454,974
143012,11,1,1011402,1100416,2020,9,10,7,3,5,3,0,0,1,0,0,0,0,0,798349,6429,5829964,173
143013,11,11,11020514,11200513,2020,9,9,7,3,5,3,0,0,1,0,0,0,0,0,804993,2989,5831114,334
143014,11,2,2020206,2200212,2020,9,8,4,3,5,3,0,1,1,0,0,0,0,0,800002,3084,5824456,916
143015,11,1,1011302,1100309,2020,9,13,1,3,1,7,0,0,1,0,1,0,0,0,798657,5356,5828519,33
143016,11,7,7020202,7200308,2020,9,3,7,3,0,1,2,0,0,0,0,0,1,0,794518,5362,5823915,472
143017,11,5,5010208,5100210,2020,9,12,2,3,5,3,0,0,1,0,0,0,0,0,784120,9668,5830449,473
143018,11,5,5010314,5100316,2020,9,23,7,3,0,6,2,0,1,0,0,0,1,0,784925,8849,5829351,619
143019,11,6,6020303,6200313,2020,9,7,4,2,5,2,0,1,1,0,0,0,0,0,795261,7739,5818610,587
143020,11,6,6020302,6200312,2020,9,8,6,3,1,5,0,1,1,0,0,0,0,0,794498,1546,5818724,443
