,year,month,weekday,accident_category,accident_scenario,number_of_accidents,mean_distance_km,mean_location_density
206,2018,3,4,2,ped_car,5,9.345160359326039,5.2
207,2018,3,4,3,bike_car,29,6.2145078494464565,9.620689655172415
208,2018,3,4,3,bike_only,5,6.278884504442804,3.6
209,2018,3,4,3,car_only,51,7.544477570383259,9.764705882352942
210,2018,3,4,3,other,3,7.855565528621163,4.333333333333333
211,2018,3,4,3,ped_car,8,6.330352072685137,14.25
212,2018,3,4,3,ped_only,2,7.70125417012308,16.0
213,2018,3,5,2,bike_car,2,9.973026401597721,3.0
214,2018,3,5,2,bike_only,1,3.56657206980919,5.0
215,2018,3,5,2,car_only,9,8.913649569498043,12.11111111111111
216,2018,3,5,2,other,3,8.904451716827717,14.333333333333334
217,2018,3,5,2,ped_car,6,9.10272737626123,8.0
218,2018,3,5,3,bike_car,33,5.711189233954316,7.242424242424242
219,2018,3,5,3,bike_only,7,6.891932945207271,5.714285714285714
220,2018,3,5,3,bike_ped,2,3.861495432325345,8.5
221,2018,3,5,3,car_only,64,9.044690323689618,6.25
222,2018,3,5,3,other,3,7.63256493802523,3.6666666666666665
223,2018,3,5,3,ped_car,19,7.213432156023823,7.7368421052631575
224,2018,3,5,3,ped_only,3,6.49413593321439,5.666666666666667
225,2018,3,6,1,other,1,2.94253040714765,1.0
226,2018,3,6,2,bike_car,3,7.79376559026626,4.0
227,2018,3,6,2,bike_only,3,5.549579255803483,10.0
228,2018,3,6,2,car_only,5,8.904653310494414,7.2
229,2018,3,6,2,other,1,2.93200089832827,1.0
230,2018,3,6,2,ped_car,1,3.41356017306235,10.0
231,2018,3,6,2,ped_only,1,3.14608667714762,2.0
232,2018,3,6,3,bike_car,17,5.73564159670998,10.529411764705882
233,2018,3,6,3,bike_only,5,10.761944242269639,4.2
234,2018,3,6,3,bike_ped,3,3.1745487843945868,24.333333333333332
235,2018,3,6,3,car_only,66,7.756213762043613,12.075757575757576
236,2018,3,6,3,other,3,12.834473919034268,4.333333333333333
237,2018,3,6,3,ped_car,12,7.416798768731809,5.666666666666667
238,2018,3,6,3,ped_only,2,8.683045770950411,8.0
239,2018,3,7,2,bike_car,1,7.73359004021023,2.0
240,2018,3,7,2,bike_only,2,9.987220262540475,1.0
241,2018,3,7,2,bike_ped,1,1.6967040007104,8.0
242,2018,3,7,2,car_only,4,7.589792699198227,3.25
243,2018,3,7,2,other,2,7.663301924102025,1.0
244,2018,3,7,2,ped_car,3,7.455126063028703,8.0
245,2018,3,7,3,bike_car,8,8.552862851250326,4.75
246,2018,3,7,3,bike_only,1,1.23258935595202,1.0
247,2018,3,7,3,car_only,49,9.146388902612879,8.387755102040817
248,2018,3,7,3,other,2,7.107346182125555,4.0
249,2018,3,7,3,ped_car,9,7.753650359342503,6.888888888888889
250,2018,3,7,3,ped_only,1,2.05029890976362,4.0
251,2018,4,1,1,bike_car,1,11.240854142715,5.0
252,2018,4,1,2,bike_car,4,9.055447300889988,12.25
253,2018,4,1,2,bike_only,2,6.534762521152549,2.0
254,2018,4,1,2,car_only,7,9.316377930654905,8.285714285714286
255,2018,4,1,2,ped_car,3,5.964605123362907,5.333333333333333
256,2018,4,1,3,bike_car,31,6.720383415640578,8.612903225806452
257,2018,4,1,3,bike_only,7,4.90799207866948,8.857142857142858
258,2018,4,1,3,bike_ped,1,3.47652281516026,6.0
259,2018,4,1,3,car_only,51,8.220742294153274,10.333333333333334
260,2018,4,1,3,other,2,8.455338740735415,15.5
261,2018,4,1,3,ped_car,6,4.930552269546124,7.166666666666667
262,2018,4,1,3,ped_only,1,10.6318252578833,3.0
263,2018,4,2,2,bike_car,10,6.134228807950771,11.1
264,2018,4,2,2,bike_only,4,8.76016699676636,10.5
265,2018,4,2,2,bike_ped,2,4.62206356104521,7.0
266,2018,4,2,2,car_only,15,11.426030491515291,6.6
267,2018,4,2,2,other,1,8.27807703002869,5.0
268,2018,4,2,2,ped_car,2,7.65865100300419,3.5
269,2018,4,2,3,bike_car,43,6.861082631585602,7.976744186046512
270,2018,4,2,3,bike_only,22,6.521854245734085,8.590909090909092
271,2018,4,2,3,bike_ped,3,3.47592833116458,9.0
272,2018,4,2,3,car_only,74,8.805591865184699,8.513513513513514
273,2018,4,2,3,other,6,8.902165330018393,4.5
274,2018,4,2,3,ped_car,18,9.242343115296187,7.277777777777778
275,2018,4,2,3,ped_only,1,4.42870116591759,33.0
276,2018,4,3,1,ped_only,1,5.93654340374401,3.0
277,2018,4,3,2,bike_car,2,8.528770117684616,10.0
278,2018,4,3,2,bike_only,6,4.270862247026155,9.5
279,2018,4,3,2,car_only,16,8.798386417888121,6.375
280,2018,4,3,2,other,1,6.65094068813845,1.0
281,2018,4,3,2,ped_car,6,8.56157976225493,12.166666666666666
282,2018,4,3,3,bike_car,51,6.672706367147208,9.72549019607843
283,2018,4,3,3,bike_only,9,6.418011946116925,9.666666666666666
284,2018,4,3,3,bike_ped,4,7.495488537858314,13.75
285,2018,4,3,3,car_only,82,7.748904706449208,8.402439024390244
286,2018,4,3,3,other,7,8.031854145272309,8.285714285714286
287,2018,4,3,3,ped_car,9,7.510575483913142,4.666666666666667
288,2018,4,3,3,ped_only,4,9.748336586171384,6.5
289,2018,4,4,1,ped_car,1,11.8146703251645,9.0
290,2018,4,4,2,bike_car,4,6.781851335077925,4.5
291,2018,4,4,2,bike_only,2,7.460804445524535,18.0
292,2018,4,4,2,car_only,14,9.12445077094658,7.857142857142857
293,2018,4,4,2,other,2,8.6951615866699,2.5
294,2018,4,4,2,ped_car,5,8.193864923845783,4.4
295,2018,4,4,3,bike_car,44,6.093061183547723,8.340909090909092
296,2018,4,4,3,bike_only,13,5.799530085622306,7.846153846153846
297,2018,4,4,3,bike_ped,4,8.54060268406817,5.75
298,2018,4,4,3,car_only,78,8.513311874052912,9.435897435897436
299,2018,4,4,3,other,7,4.868586082221245,2.142857142857143
300,2018,4,4,3,ped_car,8,5.577672124638295,6.875
301,2018,4,4,3,ped_only,5,7.045847503947473,7.0
302,2018,4,5,1,ped_car,1,8.95988321226164,7.0
303,2018,4,5,2,bike_car,10,8.117450995299759,12.0
304,2018,4,5,2,bike_only,3,3.27374889855043,2.3333333333333335
305,2018,4,5,2,bike_ped,1,7.57773341759532,5.0
306,2018,4,5,2,car_only,20,8.062642196224266,5.6
307,2018,4,5,2,ped_car,1,8.64545712023641,4.0
308,2018,4,5,3,bike_car,33,7.901058090082556,8.06060606060606
309,2018,4,5,3,bike_only,15,6.386301896270885,7.0
310,2018,4,5,3,bike_ped,4,6.933756791141492,4.5
311,2018,4,5,3,car_only,75,8.22116027179057,7.96
312,2018,4,5,3,other,9,6.694778292963747,10.666666666666666
313,2018,4,5,3,ped_car,13,6.490272470714388,3.923076923076923
314,2018,4,5,3,ped_only,3,8.13197422174521,5.333333333333333
315,2018,4,6,2,bike_car,8,11.228197470644357,6.25
316,2018,4,6,2,bike_only,5,8.939828696631832,4.4
317,2018,4,6,2,car_only,14,10.866601110548705,4.785714285714286
318,2018,4,6,2,ped_car,5,5.078505358590734,7.2
319,2018,4,6,2,ped_only,1,7.67719307381245,3.0
320,2018,4,6,3,bike_car,38,6.79123522509542,8.263157894736842
321,2018,4,6,3,bike_only,13,4.691523093989811,9.307692307692308
322,2018,4,6,3,bike_ped,4,6.286050131916822,6.5
323,2018,4,6,3,bike_ped_car,1,6.28862432614959,13.0
324,2018,4,6,3,car_only,83,6.483319399058802,8.55421686746988
325,2018,4,6,3,other,3,7.402275067805807,11.0
326,2018,4,6,3,ped_car,11,6.7235100481839885,8.0
327,2018,4,6,3,ped_only,3,3.5295579339570033,10.666666666666666
328,2018,4,7,2,bike_car,2,5.1295556629241945,5.0
329,2018,4,7,2,bike_only,6,9.03810431546097,3.0
330,2018,4,7,2,car_only,11,8.704716337311428,6.090909090909091
331,2018,4,7,2,other,2,13.01269195263865,8.5
332,2018,4,7,2,ped_car,5,10.226149656249197,4.6
333,2018,4,7,3,bike_car,29,7.118855501070998,7.793103448275862
334,2018,4,7,3,bike_only,10,6.585642497925676,8.3
335,2018,4,7,3,bike_ped,2,10.21919766551005,3.0
336,2018,4,7,3,car_only,55,8.746502737744047,6.945454545454545
337,2018,4,7,3,other,6,8.709835674244792,4.666666666666667
338,2018,4,7,3,ped_car,7,9.251627652194903,11.0
339,2018,4,7,3,ped_only,2,4.684993560960255,8.0
340,2018,5,1,2,bike_car,7,7.307706286959392,13.0
341,2018,5,1,2,bike_only,3,7.33727636070394,1.3333333333333333
342,2018,5,1,2,car_only,7,6.549916865603791,18.142857142857142
343,2018,5,1,2,other,1,8.94897652897453,6.0
344,2018,5,1,2,ped_car,3,9.334589489864056,5.0
345,2018,5,1,3,bike_car,24,5.403539239663812,10.25
346,2018,5,1,3,bike_only,5,7.812144756882384,2.2
347,2018,5,1,3,bike_ped,4,2.6508865597036526,22.25
348,2018,5,1,3,car_only,42,8.270434576506634,8.238095238095237
349,2018,5,1,3,other,2,9.00786711780272,11.0
350,2018,5,1,3,ped_car,2,5.272705049657875,20.5
351,2018,5,2,1,car_only,1,4.77317506345639,15.0
352,2018,5,2,2,bike_car,11,9.905289704021474,13.727272727272727
353,2018,5,2,2,bike_only,5,5.246277893286353,5.0
354,2018,5,2,2,bike_ped,1,7.23423466531811,11.0
355,2018,5,2,2,car_only,17,11.077450026836681,5.529411764705882
356,2018,5,2,2,other,3,11.497292882417037,6.333333333333333
357,2018,5,2,2,ped_car,3,8.693342466703077,2.6666666666666665
358,2018,5,2,2,ped_only,3,5.595360564022283,4.0
359,2018,5,2,3,bike_car,61,7.400231629227668,8.540983606557377
360,2018,5,2,3,bike_only,19,6.245976515975241,10.105263157894736
361,2018,5,2,3,bike_ped,2,3.744954345066585,1.0
362,2018,5,2,3,car_only,85,8.077809415282488,8.211764705882352
363,2018,5,2,3,other,8,9.264415544664303,3.875
364,2018,5,2,3,ped_car,16,8.02509630490942,8.75
365,2018,5,2,3,ped_only,2,8.618971350129774,3.0
366,2018,5,3,2,bike_car,9,8.76957714878535,10.88888888888889
367,2018,5,3,2,bike_only,10,5.540813703722298,10.0
368,2018,5,3,2,bike_ped,3,3.2548815435397938,13.0
369,2018,5,3,2,car_only,16,10.112372998133258,9.5
370,2018,5,3,2,other,1,2.45225717630387,4.0
371,2018,5,3,2,ped_car,5,8.588586750972379,8.0
372,2018,5,3,2,ped_only,1,14.2315983619025,5.0
373,2018,5,3,3,bike_car,76,6.630047035958546,9.223684210526315
374,2018,5,3,3,bike_only,22,7.6436299943117065,4.318181818181818
375,2018,5,3,3,bike_ped,5,8.60012876389807,9.0
376,2018,5,3,3,car_only,88,8.122897979394907,7.159090909090909
377,2018,5,3,3,other,7,6.510465802527784,3.142857142857143
378,2018,5,3,3,ped_car,20,7.248870328158136,6.05
379,2018,5,3,3,ped_only,4,8.39300931205926,5.75
380,2018,5,4,1,ped_only,1,2.76246071337616,8.0
381,2018,5,4,2,bike_car,13,8.408352184998426,4.769230769230769
382,2018,5,4,2,bike_only,7,5.617103577129918,7.0
383,2018,5,4,2,bike_ped,2,4.870167966339315,7.0
384,2018,5,4,2,car_only,16,7.80465134145743,9.5625
385,2018,5,4,2,other,2,7.6227441696015,3.5
386,2018,5,4,2,ped_car,14,8.39276815355488,6.5
387,2018,5,4,2,ped_only,2,12.428348294692949,2.0
388,2018,5,4,3,bike_car,83,5.484095328845734,9.602409638554217
389,2018,5,4,3,bike_only,35,5.337694994498591,8.342857142857143
390,2018,5,4,3,bike_ped,10,6.819203302668723,5.4
391,2018,5,4,3,car_only,82,7.844969617298724,9.560975609756097
392,2018,5,4,3,other,10,6.5621557764344915,10.1
393,2018,5,4,3,ped_car,16,9.35958680477977,6.1875
394,2018,5,4,3,ped_only,5,4.820914790674106,16.8
395,2018,5,5,2,bike_car,13,8.93527479555927,6.538461538461538
396,2018,5,5,2,bike_only,8,4.281535482350357,11.125
397,2018,5,5,2,bike_ped,2,6.6656054728851855,2.5
398,2018,5,5,2,car_only,14,10.96846669815157,7.714285714285714
399,2018,5,5,2,ped_car,5,8.538603545193666,5.4
400,2018,5,5,3,bike_car,75,7.237780345619282,8.96
401,2018,5,5,3,bike_only,23,5.39852092068751,12.391304347826088
402,2018,5,5,3,bike_ped,10,6.988184606087278,5.9
403,2018,5,5,3,bike_ped_car,1,1.69685334030766,17.0
404,2018,5,5,3,car_only,98,7.9827667343664865,8.204081632653061
405,2018,5,5,3,other,3,8.328298382886553,8.333333333333334
406,2018,5,5,3,ped_car,17,8.245726286899805,7.529411764705882
407,2018,5,5,3,ped_only,2,4.25458633198213,2.0
408,2018,5,6,2,bike_car,6,7.010830602961801,4.0
409,2018,5,6,2,bike_only,4,5.20460724553965,8.75
410,2018,5,6,2,bike_ped,1,1.95457178537018,1.0
411,2018,5,6,2,car_only,6,8.622294132945024,13.0
412,2018,5,6,2,other,2,9.48450133392557,1.5
413,2018,5,6,2,ped_car,5,9.637378257981561,8.2
414,2018,5,6,2,ped_only,2,9.14961318888735,10.0
415,2018,5,6,3,bike_car,55,7.981049161377853,6.654545454545454
416,2018,5,6,3,bike_only,8,5.714652591291473,7.125
417,2018,5,6,3,bike_ped,6,7.130337493907269,10.833333333333334
418,2018,5,6,3,car_only,57,8.498009102125776,8.280701754385966
419,2018,5,6,3,other,8,7.40776771592446,8.0
420,2018,5,6,3,ped_car,6,6.7190477098667145,7.833333333333333
421,2018,5,6,3,ped_only,3,6.549823885536907,9.333333333333334
422,2018,5,7,2,bike_car,10,6.903805213522043,6.3
423,2018,5,7,2,bike_only,5,5.981263956880056,6.4
424,2018,5,7,2,bike_ped,1,2.05796703623604,6.0
425,2018,5,7,2,car_only,9,9.205805509903131,6.444444444444445
426,2018,5,7,2,other,1,9.07798376161288,8.0
427,2018,5,7,2,ped_car,1,8.71783677718246,2.0
428,2018,5,7,2,ped_only,1,14.425352718463,5.0
429,2018,5,7,3,bike_car,26,6.999841754039853,7.269230769230769
430,2018,5,7,3,bike_only,8,8.014893011467962,7.75
431,2018,5,7,3,car_only,50,8.293244315291867,8.76
432,2018,5,7,3,other,4,5.012951628978493,7.25
433,2018,5,7,3,ped_car,3,4.772127820901317,5.0
434,2018,6,1,2,bike_car,4,7.63832162243072,22.25
435,2018,6,1,2,bike_only,3,6.984376919679147,11.333333333333334
436,2018,6,1,2,car_only,9,7.56849917525922,9.666666666666666
437,2018,6,1,2,other,3,7.52221457465492,2.3333333333333335
438,2018,6,1,2,ped_car,4,5.19832751675452,11.0
439,2018,6,1,2,ped_only,1,4.79916859548476,15.0
440,2018,6,1,3,bike_car,20,6.791786468719548,6.35
441,2018,6,1,3,bike_only,9,9.6258026593595,4.222222222222222
442,2018,6,1,3,bike_ped,3,9.93191228167633,2.3333333333333335
443,2018,6,1,3,car_only,35,8.40871808622833,12.371428571428572
444,2018,6,1,3,other,4,12.15084720261029,2.75
445,2018,6,1,3,ped_car,9,7.0999764959670335,4.444444444444445
